Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
jacquemus-le-chiquito-brown-suede,JACQUEMUS LE CHIQUITO BROWN SUEDE,<p><p>Signature mini handbag<br/><br/>- Suede leather structured bag<br/>- Reinforced handle<br/>- Magnetic flap closure<br/>- Long removable strap<br/>- Engraved lobster clip<br/>- Gold metal logo and hardware<br/>- Fully lined in cotton<br/>- Dyed edges<br/>- 12 x 9 cm</p><br/><br/>100% Cowskin<br/>Made in Italy<br/></p>,Jacquemus,accessories,,"NOTFORLTS, ACCESSORIES, ALL PRODUCTS, BAGS, JACQUEMUS, JACQUEMUS, OUR PICKS, WOMENS, Women, All Women",TRUE,Size,O/S,,,213BA001-3066-850,,,,deny,manual,250.0,520.0,,,,https://notorious-plug.com/cdn/shop/files/JCQ_LECHIQUITO_BROWNSUEDE.png?v=1737388167,1,,,,,,,,,,,,,,,,,,,,,active
jacquemus-le-chiquito-brown-suede,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JCQ_LECHIQUITO_BROWNSUEDE2.png?v=1737388167,2,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-chiquito-croc-light-khaki,JACQUEMUS LE CHIQUITO CROC LIGHT KHAKI,<p><p>Signature mini handbag<br/><br/>- Smooth leather structured bag<br/>- Reinforced handle<br/>- Magnetic flap closure<br/>- Long removable strap<br/>- Engraved lobster clip<br/>- Gold metal logo and hardware<br/>- Fully lined in cotton<br/>- Dyed edges<br/>- 12 x 9 cm</p><br/><br/>100% Cowskin<br/>Made in Italy<br/></p>,Jacquemus,accessories,,"NOTFORLTS, ACCESSORIES, ALL PRODUCTS, BAGS, JACQUEMUS, JACQUEMUS, OUR PICKS, WOMENS, Women, All Women",TRUE,Size,O/S,,,,,,,deny,manual,250.0,520.0,,,,https://notorious-plug.com/cdn/shop/files/JACQ_LCHQ_GREENCROC1.png?v=1749567627,1,,,,,,,,,,,,,,,,,,,,,active
jacquemus-le-chiquito-croc-light-khaki,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JACQ_LCHQ_GREENCROC.png?v=1749567627,2,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-chiquito-croc-light-khaki,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JACQ_LCHQ_GREENCROC3.png?v=1749567627,3,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-petit-bambino-white,JACQUEMUS LE PETIT BAMBINO WHITE,"<p><p>Jacquemus revisits its iconic 'Le Bambino' bag in an irresistible 'Petit' size. Crafted from hand-selected leather in White, this accessory is detailed with a glossy gold-tone 'J' to match the exaggerated clasps. Keep yours in the dust bag between uses.</p></p>",Jacquemus,accessories,,"NOTFORLTS, ACCESSORIES, ALL PRODUCTS, BAGS, JACQUEMUS, JACQUEMUS, OUR PICKS, WOMENS, Women, All Women",TRUE,Size,O/S,,,,,,,deny,manual,225.0,365.0,,,,https://notorious-plug.com/cdn/shop/files/JACQ_LBP_WHITE1.png?v=1749566293,1,,,,,,,,,,,,,,,,,,,,,active
jacquemus-le-petit-bambino-white,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JACQ_LBP_WHITE2.png?v=1749566294,2,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-petit-bambino-white,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JACQ_LBP_WHITE3.png?v=1749566293,3,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-petit-bambino-white,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JACQ_LBP_WHITE4.png?v=1749566293,4,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-petit-bambino-camel-brown,JACQUEMUS LE PETIT BAMBINO CAMEL BROWN,"<p><p>Jacquemus revisits its iconic 'Le Bambino' bag in an irresistible 'Petit' size. Crafted from hand-selected leather in a 'Camel' Brown shade, this accessory is detailed with a glossy gold-tone 'J' to match the exaggerated clasps. Keep yours in the dust bag between uses.</p></p>",Jacquemus,accessories,,"NOTFORLTS, ACCESSORIES, ALL PRODUCTS, BAGS, JACQUEMUS, JACQUEMUS, OUR PICKS, WOMENS, Women, All Women",TRUE,Size,O/S,,,,,,,deny,manual,225.0,365.0,,,,https://notorious-plug.com/cdn/shop/files/JACQ_LBP_CAMELBROWN.png?v=1749565932,1,,,,,,,,,,,,,,,,,,,,,active
